"WQJ_ID","WQJ_Show","WQJ_Name","WQJ_DateStr","WQJ_DateEnd","WQJ_PeriodWeek","WQJ_Descript","WQJ_PlayDescript","WQJ_WebSite","WQJ_TypeID","WQJ_LimitRound","WQJ_StartTime","WQJ_EndTime","WQJ_PreText","WQJ_StrText"
"1","1","贪吃仙子","2000-05-01","2019-05-01","1|2|3|4|5|6|7","\#R【活动提醒】\#W“贪吃仙子” 下界凡间，能人异士速速前去驱逐。","\#R【活动提醒】\#W“贪吃仙子” 下界凡间，能人异士速速前去驱逐。","","24","0","15:00","24:00","“贪吃仙子” 下界凡间，能人异士速速前去驱逐。","“贪吃仙子” 下界凡间，能人异士速速前去驱逐。"
"2","1","科举大赛","2000-05-01","2019-05-01","6|7","\#R【活动提醒】\#W“科举大赛” 奉天承运，皇帝诏曰：凡我大唐子民均可通过乡试参加科举，凭借满腹经纶为我大唐造福。","\#R【活动提醒】\#W“科举大赛” 奉天承运，皇帝诏曰：凡我大唐子民均可通过乡试参加科举，凭借满腹经纶为我大唐造福。","","24","0","14:00","15:00","“科举大赛” 奉天承运，皇帝诏曰：凡我大唐子民均可通过乡试参加科举，凭借满腹经纶为我大唐造福。","“科举大赛” 奉天承运，皇帝诏曰：凡我大唐子民均可通过乡试参加科举，凭借满腹经纶为我大唐造福。"
"3","1","竞泳大赛","2000-05-01","2019-05-01","2|4","\#R【活动提醒】\#W“竞泳大赛” 凡体格健硕者均可即日至傲来国参加。","\#R【活动提醒】\#W“竞泳大赛” 凡体格健硕者均可即日至傲来国参加。","","24","0","19:00","20:00","“竞泳大赛” 凡体格健硕者均可即日至傲来国参加。","“竞泳大赛” 凡体格健硕者均可即日至傲来国参加。"
"4","1","皇宫飞贼","2000-05-01","2019-05-01","1|3|5|7","\#R【活动提醒】\#W“皇宫飞贼” 奉旨捉拿大内飞贼，凡身手不凡者均可即日至长安御林军处报名。","\#R【活动提醒】\#W“皇宫飞贼” 奉旨捉拿大内飞贼，凡身手不凡者均可即日至长安御林军处报名。","","24","0","11:55","21:00","“皇宫飞贼” 奉旨捉拿大内飞贼，凡身手不凡者均可即日至长安御林军处报名。","“皇宫飞贼” 奉旨捉拿大内飞贼，凡身手不凡者均可即日至长安御林军处报名。"
"5","1","侠客试练","2000-05-01","2019-05-01","5|7","\#R【活动提醒】\#W“侠客试练” 高手过招，凡有能者均可即日前去迎战！","\#R【活动提醒】\#W“侠客试练” 高手过招，凡有能者均可即日前去迎战！","","24","0","15:00","24:00","“侠客试练” 高手过招，凡有能者均可即日前去迎战！","“侠客试练” 高手过招，凡有能者均可即日前去迎战！"
"6","1","初出茅庐地煞星","2000-05-01","2019-05-01","1|3|5|7","\#R【活动提醒】\#A初出茅庐地煞星\#O听闻\#P凡间\#O，有许多高手，专程到三界寻找对手,若是有能力的少侠去前去对战！","\#R【活动提醒】\#A初出茅庐地煞星\#O听闻\#P凡间\#O，有许多高手，专程到三界寻找对手,若是有能力的少侠去前去对战！","","24","0","15:30","16:30","\#A初出茅庐地煞星\#O说明1","\#A初出茅庐地煞星\#O说明2"
"7","1","仙境传说（一阶段）","2000-05-01","2019-05-01","1|2|3|4|5|6|7","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：100书铁，7级宝石，变身卡，超级金柳露，神兜兜，修炼果，灵饰材料，内丹，兽决宝盒。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：100书铁，7级宝石，变身卡，超级金柳露，神兜兜，修炼果，灵饰材料，内丹，兽决宝盒。","","24","0","12:00","14:00","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：100书铁，7级宝石，变身卡，超级金柳露，神兜兜，修炼果，灵饰材料，内丹，兽决宝盒。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：100书铁，7级宝石，变身卡，超级金柳露，神兜兜，修炼果，灵饰材料，内丹，兽决宝盒。"
"8","1","仙境传说（二阶段）","2000-05-01","2019-05-01","1|2|3|4|5|6|7","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：110书铁，8级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，修炼果，灵饰材料，内丹，节日大礼包。110~120级无级别衣服，头。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：110书铁，8级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，修炼果，灵饰材料，内丹，节日大礼包。110~120级无级别衣服，头。","","24","0","14:00","16:00","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：110书铁，8级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，修炼果，灵饰材料，内丹，节日大礼包。110~120级无级别衣服，头。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：110书铁，8级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，修炼果，灵饰材料，内丹，节日大礼包。110~120级无级别衣服，头。"
"9","1","仙境传说（三阶段）","2000-05-01","2019-05-01","1|2|3|4|5|6|7","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：120书铁，9级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，110~120无级别武器、腰带、项链、鞋，150级无级别武器。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：120书铁，9级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，110~120无级别武器、腰带、项链、鞋，150级无级别武器。","","24","0","16:00","18:00","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：120书铁，9级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，110~120无级别武器、腰带、项链、鞋，150级无级别武器。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：120书铁，9级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，110~120无级别武器、腰带、项链、鞋，150级无级别武器。"
"10","1","仙境传说（四阶段）","2000-05-01","2019-05-01","1|2|3|4|5|6|7","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：130~150书铁，10级宝石，变身卡，神兜兜，抽奖卷，节日大礼包，130~150无级别武器，110~120无级别腰带、项链、鞋。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：130~150书铁，10级宝石，变身卡，神兜兜，抽奖卷，节日大礼包，130~150无级别武器，110~120无级别腰带、项链、鞋。","","24","0","18:00","20:00","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：130~150书铁，10级宝石，变身卡，神兜兜，抽奖卷，节日大礼包，130~150无级别武器，110~120无级别腰带、项链、鞋。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：130~150书铁，10级宝石，变身卡，神兜兜，抽奖卷，节日大礼包，130~150无级别武器，110~120无级别腰带、项链、鞋。"
"11","1","仙境传说（一阶段）","2000-05-01","2019-05-01","1|2|3|4|5|6|7","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：100书铁，7级宝石，变身卡，超级金柳露，神兜兜，修炼果，灵饰材料，内丹，兽决宝盒。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：100书铁，7级宝石，变身卡，超级金柳露，神兜兜，修炼果，灵饰材料，内丹，兽决宝盒。","","24","0","20:00","22:00","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：100书铁，7级宝石，变身卡，超级金柳露，神兜兜，修炼果，灵饰材料，内丹，兽决宝盒。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：100书铁，7级宝石，变身卡，超级金柳露，神兜兜，修炼果，灵饰材料，内丹，兽决宝盒。"
"12","1","仙境传说（二阶段）","2000-05-01","2019-05-01","1|2|3|4|5|6|7","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：110书铁，8级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，修炼果，灵饰材料，内丹，节日大礼包。110~120级无级别衣服，头。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：110书铁，8级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，修炼果，灵饰材料，内丹，节日大礼包。110~120级无级别衣服，头。","","24","0","22:00","24:00","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：110书铁，8级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，修炼果，灵饰材料，内丹，节日大礼包。110~120级无级别衣服，头。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：110书铁，8级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，修炼果，灵饰材料，内丹，节日大礼包。110~120级无级别衣服，头。"
"13","1","仙境传说（三阶段）","2000-05-01","2019-05-01","1|2|3|4|5|6|7","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：120书铁，9级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，110~120无级别武器、腰带、项链、鞋，150级无级别武器。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：120书铁，9级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，110~120无级别武器、腰带、项链、鞋，150级无级别武器。","","24","0","00:00","02:00","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：120书铁，9级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，110~120无级别武器、腰带、项链、鞋，150级无级别武器。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：120书铁，9级宝石，变身卡，超级金柳露，神兜兜，抽奖卷，110~120无级别武器、腰带、项链、鞋，150级无级别武器。"
"14","1","仙境传说（四阶段）","2000-05-01","2019-05-01","1|2|3|4|5|6|7","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：130~150书铁，10级宝石，变身卡，神兜兜，抽奖卷，节日大礼包，130~150无级别武器，110~120无级别腰带、项链、鞋。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：130~150书铁，10级宝石，变身卡，神兜兜，抽奖卷，节日大礼包，130~150无级别武器，110~120无级别腰带、项链、鞋。","","24","0","02:00","04:00","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：130~150书铁，10级宝石，变身卡，神兜兜，抽奖卷，节日大礼包，130~150无级别武器，110~120无级别腰带、项链、鞋。","\#R【活动提醒】\#A魔神蚩尤\#O听闻\#P天庭\#O欲将其魔界铲除，夺下蓬莱制造了幻境，在此等候妄想除之而得到飞升与其决一死战的无知凡人！可在袁天罡处前往。\r掉落：130~150书铁，10级宝石，变身卡，神兜兜，抽奖卷，节日大礼包，130~150无级别武器，110~120无级别腰带、项链、鞋。"
